"master_metadata_album_artist_name","total_streams","total_minutes_streamed","total_skips","skip_rate_percentage"
"Sun Kil Moon","97","121.35588333333334","40","41.23711340206185"
"Switchfoot","52","45.9709","15","28.846153846153843"
"Billie Eilish","111","147.80628333333334","26","23.423423423423422"
"Żółte Kalendarze","97","143.10046666666668","22","22.68041237113402"
"Pink Freud","57","116.92928333333333","12","21.052631578947366"
"KARAŚ/ROGUCKI","57","144.86326666666668","12","21.052631578947366"
"Nirvana","54","81.6162","11","20.37037037037037"
"Charli xcx","65","102.9049","13","20"
"Julia Holter","61","148.2202","12","19.672131147540984"
"Ray Charles","55","61.62381666666667","10","18.181818181818183"
"Irreversible Entanglements","57","173.36463333333333","10","17.543859649122805"
"Mikolai Stroinski","191","287.54588333333334","33","17.277486910994764"
"ABBA","106","313.2526","18","16.9811320754717"
"Skarby","65","128.47918333333334","11","16.923076923076923"
"Daria Zawiałow","103","216.83901666666668","17","16.50485436893204"
"Porridge Radio","91","204.04733333333334","15","16.483516483516482"
"Maple Glider","62","115.7431","10","16.129032258064516"
"Moby","62","130.77406666666667","10","16.129032258064516"
"Mitch & Mitch","75","127.05173333333333","12","16"
"Parquet Courts","101","208.87425","16","15.841584158415841"
"Galaxie 500","205","542.23075","32","15.609756097560975"
"Traffik Island","58","99.34251666666667","9","15.517241379310345"
"Taylor Swift","52","62.847033333333336","8","15.384615384615385"
"The Dumplings","106","282.9491","16","15.09433962264151"
"A$AP Rocky","93","185.00723333333335","14","15.053763440860216"
"DJ Koze","100","306.71575","15","15"
"Kult","54","160.70658333333333","8","14.814814814814813"
"Dawid Podsiadło","232","551.5792","34","14.655172413793101"
"Jan-Rapowanie","62","122.99756666666667","9","14.516129032258066"
"Hozier","90","220.65045","13","14.444444444444443"
"Sylvie Kreusch","64","153.43316666666666","9","14.0625"
"Kurt Vile","216","610.2749333333334","30","13.88888888888889"
"beluga stone","73","162.88801666666666","10","13.698630136986301"
"Dead Meadow","110","253.65035","15","13.636363636363635"
"caroline","81","155.57298333333333","11","13.580246913580247"
"Smog","155","418.51075","21","13.548387096774196"
"Percival Schuttenbach","68","76.19875","9","13.23529411764706"
"Hand Habits","311","701.6768666666667","41","13.183279742765272"
"Viagra Boys","137","367.5839","18","13.138686131386862"
"Mata","84","198.9274","11","13.095238095238097"
"Jess Williamson","200","421.14711666666665","26","13"
"Wacław Zimpel","85","371.06655","11","12.941176470588237"
"Misia Furtak","55","120.31845","7","12.727272727272727"
"Marcin Przybyłowicz","221","303.79173333333335","28","12.669683257918551"
"New York Dolls","136","306.527","17","12.5"
"Purple Mountains","112","315.3516666666667","14","12.5"
"Kwiat Jabłoni","58","133.24755","7","12.068965517241379"
"Syny","166","406.6826","20","12.048192771084338"
"Carmen Villain","260","781.9094166666666","31","11.923076923076923"
"Sokół","151","350.50738333333334","18","11.920529801324504"
