"artist_name","first_year_listened","minutes"
"BROCKHAMPTON","2018","2546.6290333333336"
"The National","2017","2000.0342833333395"
"Khruangbin","2018","1112.2641833333353"
"TACONAFIDE","2018","1063.0297166666674"
"Bruce Springsteen","2018","962.2057999999997"
"Mega Bog","2021","853.8792166666672"
"John Steinbeck","2021","815.3624000000001"
"Orquesta Akokán","2018","752.5524000000003"
"Feu! Chatterton","2018","732.8243000000002"
"Warhaus","2017","696.2557666666662"
"Childish Gambino","2018","643.3539499999997"
"Swietliki","2018","636.5199999999999"
"Błoto","2020","611.7232"
"shame","2018","610.2776333333333"
"Błażej Król","2018","598.0270833333333"
"Protomartyr","2018","546.8095333333332"
"Fiona Apple","2020","519.0500333333333"
"The Smile","2022","492.8461166666666"
"Mieczyslaw Moranski","2021","485.53056666666663"
"Weyes Blood","2019","481.31720000000007"
"Bright Eyes","2020","477.64458333333346"
"Pięć Dwa","2018","477.61096666666646"
"Nala Sinephro","2021","470.15924999999993"
"Jessica Pratt","2019","437.80595000000005"
"Arctic Monkeys","2017","435.4134333333333"
"Zbigniew Wodecki","2017","414.63119999999986"
"Buena Vista Social Club","2018","413.99486666666684"
"TRYP","2019","409.64201666666656"
"L'Rain","2021","409.0221833333334"
"Whatever The Weather","2022","394.2978333333333"
"Ten Typ Mes","2017","388.50538333333344"
"David Crosby","2019","371.7786"
"Cotton Jones","2018","370.1073000000002"
"Otsochodzi","2017","369.02194999999983"
"The Tallest Man On Earth","2017","368.2834166666667"
"DJ Python","2020","363.9520333333333"
"Tęgie Chłopy","2018","362.53803333333315"
"Ezmeralda","2022","360.45523333333335"
"Stefan Wesołowski","2018","356.70448333333326"
"Ty Segall","2018","347.29456666666704"
"Emahoy Tsege Mariam Gebru","2019","345.6908"
"The Internet","2018","344.1913166666666"
"Viagra Boys","2019","342.08975"
"Woods","2020","340.2516666666666"
"Wczasy","2019","336.5843"
"Lael Neale","2021","334.96435"
"Pharoah Sanders","2021","332.2213"
"Talking Heads","2018","331.52886666666683"
"The Stooges","2017","328.83938333333333"
"Hurray For The Riff Raff","2018","327.08570000000014"
